section,pddl_item,evidence,evidence_kind,unique,status,notes
objects,"apn2","two airplanes, apn1 and apn2","direct","true","covered","Exact airplane inventory."
objects,"apn1","two airplanes, apn1 and apn2","direct","true","covered","Exact airplane inventory."
objects,"apt5","pos5 and apt5 in cit5","direct","true","covered","Explicit location/airport mapping."
objects,"pos5","pos5 and apt5 in cit5","direct","true","covered","Explicit location/airport mapping."
objects,"apt4","pos4 and apt4 in cit4","direct","true","covered","Explicit location/airport mapping."
objects,"pos4","pos4 and apt4 in cit4","direct","true","covered","Explicit location/airport mapping."
objects,"apt3","pos3 and apt3 in cit3","direct","true","covered","Explicit location/airport mapping."
objects,"pos3","pos3 and apt3 in cit3","direct","true","covered","Explicit location/airport mapping."
objects,"apt2","pos2 and apt2 in cit2","direct","true","covered","Explicit location/airport mapping."
objects,"pos2","pos2 and apt2 in cit2","direct","true","covered","Explicit location/airport mapping."
objects,"apt1","pos1 and apt1 in cit1","direct","true","covered","Explicit location/airport mapping."
objects,"pos1","pos1 and apt1 in cit1","direct","true","covered","Explicit location/airport mapping."
objects,"cit5","five cities, cit1, cit2, cit3, cit4, and cit5","direct","true","covered","Exact city inventory."
objects,"cit4","five cities, cit1, cit2, cit3, cit4, and cit5","direct","true","covered","Exact city inventory."
objects,"cit3","five cities, cit1, cit2, cit3, cit4, and cit5","direct","true","covered","Exact city inventory."
objects,"cit2","five cities, cit1, cit2, cit3, cit4, and cit5","direct","true","covered","Exact city inventory."
objects,"cit1","five cities, cit1, cit2, cit3, cit4, and cit5","direct","true","covered","Exact city inventory."
objects,"tru5","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck inventory."
objects,"tru4","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck inventory."
objects,"tru3","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck inventory."
objects,"tru2","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck inventory."
objects,"tru1","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck inventory."
objects,"obj53","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj52","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj51","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj43","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj42","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj41","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj33","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj32","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj31","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj23","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj22","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj21","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj13","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj12","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
objects,"obj11","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package inventory."
init,"(package obj11)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj12)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj13)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj21)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj22)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj23)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj31)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj32)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj33)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj41)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj42)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj43)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj51)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj52)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(package obj53)","packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, and obj53","direct","true","covered","Exact package declaration."
init,"(truck tru1)","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck declaration."
init,"(truck tru2)","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck declaration."
init,"(truck tru3)","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck declaration."
init,"(truck tru4)","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck declaration."
init,"(truck tru5)","five trucks named tru1, tru2, tru3, tru4, and tru5","direct","true","covered","Exact truck declaration."
init,"(city cit1)","five cities, cit1, cit2, cit3, cit4, and cit5","direct","true","covered","Exact city declaration."
