section,pddl_item,evidence,evidence_kind,unique,status,notes
objects,APT12,"The airport locations are apt1, apt2, apt3, apt4, apt5, apt6, apt7, apt8, apt9, apt10, apt11, apt12.",direct,true,covered,The explicit enumeration directly names APT12. Golden line 4.
objects,POS12,"The locations are pos1, apt1, pos2, apt2, pos3, apt3, pos4, apt4, pos5, apt5, pos6, apt6, pos7, apt7, pos8, apt8, pos9, apt9, pos10, apt10, pos11, apt11, pos12, apt12.",direct,true,covered,The explicit enumeration directly names POS12. Golden line 5.
objects,CIT12,"The cities are cit1, cit2, cit3, cit4, cit5, cit6, cit7, cit8, cit9, cit10, cit11, cit12.",direct,true,covered,The explicit enumeration directly names CIT12. Golden line 6.
objects,TRU12,"The trucks are tru1, tru2, tru3, tru4, tru5, tru6, tru7, tru8, tru9, tru10, tru11, tru12.",direct,true,covered,The explicit enumeration directly names TRU12. Golden line 7.
objects,OBJ123,"The packages are obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, obj73, obj81, obj82, obj83, obj91, obj92, obj93, obj101, obj102, obj103, obj111, obj112, obj113, obj121, obj122, obj123.",direct,true,covered,The explicit enumeration directly names OBJ123. Golden line 8.
objects,OBJ122,"The packages are obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, obj73, obj81, obj82, obj83, obj91, obj92, obj93, obj101, obj102, obj103, obj111, obj112, obj113, obj121, obj122, obj123.",direct,true,covered,The explicit enumeration directly names OBJ122. Golden line 9.
objects,OBJ121,"The packages are obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, obj73, obj81, obj82, obj83, obj91, obj92, obj93, obj101, obj102, obj103, obj111, obj112, obj113, obj121, obj122, obj123.",direct,true,covered,The explicit enumeration directly names OBJ121. Golden line 10.
objects,APT11,"The airport locations are apt1, apt2, apt3, apt4, apt5, apt6, apt7, apt8, apt9, apt10, apt11, apt12.",direct,true,covered,The explicit enumeration directly names APT11. Golden line 11.
objects,POS11,"The locations are pos1, apt1, pos2, apt2, pos3, apt3, pos4, apt4, pos5, apt5, pos6, apt6, pos7, apt7, pos8, apt8, pos9, apt9, pos10, apt10, pos11, apt11, pos12, apt12.",direct,true,covered,The explicit enumeration directly names POS11. Golden line 12.
objects,CIT11,"The cities are cit1, cit2, cit3, cit4, cit5, cit6, cit7, cit8, cit9, cit10, cit11, cit12.",direct,true,covered,The explicit enumeration directly names CIT11. Golden line 13.
objects,TRU11,"The trucks are tru1, tru2, tru3, tru4, tru5, tru6, tru7, tru8, tru9, tru10, tru11, tru12.",direct,true,covered,The explicit enumeration directly names TRU11. Golden line 14.
objects,OBJ113,"The packages are obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, obj73, obj81, obj82, obj83, obj91, obj92, obj93, obj101, obj102, obj103, obj111, obj112, obj113, obj121, obj122, obj123.",direct,true,covered,The explicit enumeration directly names OBJ113. Golden line 15.
objects,OBJ112,"The packages are obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, obj73, obj81, obj82, obj83, obj91, obj92, obj93, obj101, obj102, obj103, obj111, obj112, obj113, obj121, obj122, obj123.",direct,true,covered,The explicit enumeration directly names OBJ112. Golden line 16.
objects,OBJ111,"The packages are obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, obj73, obj81, obj82, obj83, obj91, obj92, obj93, obj101, obj102, obj103, obj111, obj112, obj113, obj121, obj122, obj123.",direct,true,covered,The explicit enumeration directly names OBJ111. Golden line 17.
objects,APT10,"The airport locations are apt1, apt2, apt3, apt4, apt5, apt6, apt7, apt8, apt9, apt10, apt11, apt12.",direct,true,covered,The explicit enumeration directly names APT10. Golden line 18.
objects,POS10,"The locations are pos1, apt1, pos2, apt2, pos3, apt3, pos4, apt4, pos5, apt5, pos6, apt6, pos7, apt7, pos8, apt8, pos9, apt9, pos10, apt10, pos11, apt11, pos12, apt12.",direct,true,covered,The explicit enumeration directly names POS10. Golden line 19.
objects,CIT10,"The cities are cit1, cit2, cit3, cit4, cit5, cit6, cit7, cit8, cit9, cit10, cit11, cit12.",direct,true,covered,The explicit enumeration directly names CIT10. Golden line 20.
objects,TRU10,"The trucks are tru1, tru2, tru3, tru4, tru5, tru6, tru7, tru8, tru9, tru10, tru11, tru12.",direct,true,covered,The explicit enumeration directly names TRU10. Golden line 21.
objects,OBJ103,"The packages are obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, obj73, obj81, obj82, obj83, obj91, obj92, obj93, obj101, obj102, obj103, obj111, obj112, obj113, obj121, obj122, obj123.",direct,true,covered,The explicit enumeration directly names OBJ103. Golden line 22.
objects,OBJ102,"The packages are obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, obj73, obj81, obj82, obj83, obj91, obj92, obj93, obj101, obj102, obj103, obj111, obj112, obj113, obj121, obj122, obj123.",direct,true,covered,The explicit enumeration directly names OBJ102. Golden line 23.
objects,OBJ101,"The packages are obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, obj73, obj81, obj82, obj83, obj91, obj92, obj93, obj101, obj102, obj103, obj111, obj112, obj113, obj121, obj122, obj123.",direct,true,covered,The explicit enumeration directly names OBJ101. Golden line 24.
objects,APN3,"The airplanes are apn1, apn2, apn3.",direct,true,covered,The explicit enumeration directly names APN3. Golden line 25.
objects,APT9,"The airport locations are apt1, apt2, apt3, apt4, apt5, apt6, apt7, apt8, apt9, apt10, apt11, apt12.",direct,true,covered,The explicit enumeration directly names APT9. Golden line 26.
objects,POS9,"The locations are pos1, apt1, pos2, apt2, pos3, apt3, pos4, apt4, pos5, apt5, pos6, apt6, pos7, apt7, pos8, apt8, pos9, apt9, pos10, apt10, pos11, apt11, pos12, apt12.",direct,true,covered,The explicit enumeration directly names POS9. Golden line 27.
objects,CIT9,"The cities are cit1, cit2, cit3, cit4, cit5, cit6, cit7, cit8, cit9, cit10, cit11, cit12.",direct,true,covered,The explicit enumeration directly names CIT9. Golden line 28.
objects,TRU9,"The trucks are tru1, tru2, tru3, tru4, tru5, tru6, tru7, tru8, tru9, tru10, tru11, tru12.",direct,true,covered,The explicit enumeration directly names TRU9. Golden line 29.
