section,pddl_item,evidence,evidence_kind,unique,status,notes
objects,APT7,"The cities in our scenario are cit1, cit2, cit3, cit4, cit5, cit6, and cit7, and, for every integer i from 1 through 7, city citi has position posi and airport apti, where citi, posi, and apti denote the prefixes cit, pos, and apt followed by the same integer i.",deterministic_rule,true,covered,Expand i=1..7; the prefix and same-index construction yields exactly POS1..POS7 or APT1..APT7.
objects,POS7,"The cities in our scenario are cit1, cit2, cit3, cit4, cit5, cit6, and cit7, and, for every integer i from 1 through 7, city citi has position posi and airport apti, where citi, posi, and apti denote the prefixes cit, pos, and apt followed by the same integer i.",deterministic_rule,true,covered,Expand i=1..7; the prefix and same-index construction yields exactly POS1..POS7 or APT1..APT7.
objects,CIT7,"The cities in our scenario are cit1, cit2, cit3, cit4, cit5, cit6, and cit7, and, for every integer i from 1 through 7, city citi has position posi and airport apti, where citi, posi, and apti denote the prefixes cit, pos, and apt followed by the same integer i.",direct,true,covered,Cities are explicitly enumerated.
objects,TRU7,"For transportation, there are trucks named tru1, tru2, tru3, tru4, tru5, tru6, and tru7, as well as airplanes, apn1 and apn2.",direct,true,covered,Explicit vehicle enumeration.
objects,OBJ73,"Initially, we have the following packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, and obj73.",direct,true,covered,Explicit package enumeration.
objects,OBJ72,"Initially, we have the following packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, and obj73.",direct,true,covered,Explicit package enumeration.
objects,OBJ71,"Initially, we have the following packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, and obj73.",direct,true,covered,Explicit package enumeration.
objects,APT6,"The cities in our scenario are cit1, cit2, cit3, cit4, cit5, cit6, and cit7, and, for every integer i from 1 through 7, city citi has position posi and airport apti, where citi, posi, and apti denote the prefixes cit, pos, and apt followed by the same integer i.",deterministic_rule,true,covered,Expand i=1..7; the prefix and same-index construction yields exactly POS1..POS7 or APT1..APT7.
objects,POS6,"The cities in our scenario are cit1, cit2, cit3, cit4, cit5, cit6, and cit7, and, for every integer i from 1 through 7, city citi has position posi and airport apti, where citi, posi, and apti denote the prefixes cit, pos, and apt followed by the same integer i.",deterministic_rule,true,covered,Expand i=1..7; the prefix and same-index construction yields exactly POS1..POS7 or APT1..APT7.
objects,CIT6,"The cities in our scenario are cit1, cit2, cit3, cit4, cit5, cit6, and cit7, and, for every integer i from 1 through 7, city citi has position posi and airport apti, where citi, posi, and apti denote the prefixes cit, pos, and apt followed by the same integer i.",direct,true,covered,Cities are explicitly enumerated.
objects,TRU6,"For transportation, there are trucks named tru1, tru2, tru3, tru4, tru5, tru6, and tru7, as well as airplanes, apn1 and apn2.",direct,true,covered,Explicit vehicle enumeration.
objects,OBJ63,"Initially, we have the following packages: obj11, obj12, obj13, obj21, obj22, obj23, obj31, obj32, obj33, obj41, obj42, obj43, obj51, obj52, obj53, obj61, obj62, obj63, obj71, obj72, and obj73.",direct,true,covered,Explicit package enumeration.
