section,pddl_item,evidence,evidence_kind,unique,status,notes
objects,apt14,"For every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,The X=1–14 rule yields this exact city or airport identifier.
objects,pos14,"For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are initially at posX, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",deterministic_rule,true,covered,"The X=1–14 construction yields this exact package, truck, or position identifier."
objects,cit14,"For every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,The X=1–14 rule yields this exact city or airport identifier.
objects,tru14,"For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are initially at posX, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",deterministic_rule,true,covered,"The X=1–14 construction yields this exact package, truck, or position identifier."
objects,obj143,"For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are initially at posX, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",deterministic_rule,true,covered,"The X=1–14 construction yields this exact package, truck, or position identifier."
objects,obj142,"For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are initially at posX, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",deterministic_rule,true,covered,"The X=1–14 construction yields this exact package, truck, or position identifier."
objects,obj141,"For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are initially at posX, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",deterministic_rule,true,covered,"The X=1–14 construction yields this exact package, truck, or position identifier."
objects,apn4,"Additionally, there are four airplanes: apn1 is currently at airport apt8, apn2 at apt9, apn3 at apt4, and apn4 at apt12.",direct,true,covered,The exact airplane identifier is named.
objects,apt13,"For every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,The X=1–14 rule yields this exact city or airport identifier.
objects,pos13,"For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are initially at posX, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",deterministic_rule,true,covered,"The X=1–14 construction yields this exact package, truck, or position identifier."
objects,cit13,"For every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",deterministic_rule,true,covered,The X=1–14 rule yields this exact city or airport identifier.
objects,tru13,"For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are initially at posX, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",deterministic_rule,true,covered,"The X=1–14 construction yields this exact package, truck, or position identifier."
objects,obj133,"For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are initially at posX, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",deterministic_rule,true,covered,"The X=1–14 construction yields this exact package, truck, or position identifier."
